source_id,name,country,country_code,state_province,state_code,city,description,spot_types,category_raw,subcategory_raw,travel_info,latitude,longitude,altitude,display_order,unesco,best_season,image_folder,image_1,image_2,image_3
CA-ALBERTA-011,Maligne Lake,Canada,CA,Alberta,,Jasper,Famous alpine lake known for Spirit Island and spectacular mountain surroundings.,Natural spots,Lake,"Mountains, Boating, Scenic",Drivable,52.72,-117.636,1706,0,Yes,Jun–Sep,images/CA-ALBERTA-011,,,
CA-ALBERTA-012,Spirit Island,Canada,CA,Alberta,,Jasper,Small scenic island on Maligne Lake surrounded by dramatic Canadian Rockies.,Beach spots|Natural spots,Island,"Lake, Mountains, Scenic",Flight Required,52.666,-117.505,2124,0,Yes,Jun–Sep,images/CA-ALBERTA-012,,,
CA-ALBERTA-013,Maligne Canyon,Canada,CA,Alberta,,Jasper,"Deep limestone canyon featuring waterfalls, bridges and striking geological formations.",Adventure spots,Canyon,"Waterfalls, Hiking, Geology",Drivable,52.925,-117.124,1897,0,Yes,Jun–Sep,images/CA-ALBERTA-013,,,
CA-ALBERTA-014,Columbia Icefield,Canada,CA,Alberta,,Jasper,Major icefield feeding several glaciers and a prominent landscape along the Icefields Parkway.,Adventure spots,Glacier,"Mountains, Icefield, Adventure",Drivable,52.221,-117.225,2003,0,Yes,Jun–Sep,images/CA-ALBERTA-014,,,
CA-ALBERTA-015,Athabasca Glacier,Canada,CA,Alberta,,Jasper,Accessible glacier of the Columbia Icefield and a major Icefields Parkway attraction.,Adventure spots,Glacier,"Ice, Mountains, Adventure",Drivable,52.219,-117.225,1970,0,Yes,Jun–Sep,images/CA-ALBERTA-015,,,
CA-BRITISH-COLUMBIA-001,Yoho National Park,Canada,CA,British Columbia,,Field,"Rocky Mountain park known for waterfalls, alpine lakes, glaciers and dramatic geology.",Natural spots,National Park,"Mountains, Lakes, Waterfalls",Drivable,51.4,-116.487,1249,0,Yes,Jun–Sep,images/CA-BRITISH-COLUMBIA-001,,,
CA-BRITISH-COLUMBIA-002,Emerald Lake,Canada,CA,British Columbia,,Field,Turquoise alpine lake surrounded by forest and rugged mountain peaks.,Natural spots,Lake,"Mountains, Canoeing, Scenic",Drivable,51.443,-116.54,1311,0,Yes,Jun–Sep,images/CA-BRITISH-COLUMBIA-002,,,
CA-BRITISH-COLUMBIA-003,Takakkaw Falls,Canada,CA,British Columbia,,Field,"One of Canada's highest waterfalls, fed by glacial meltwater in Yoho National Park.",Natural spots,Waterfall,"Mountains, Hiking, Scenic",Drivable,51.497,-116.47,1890,0,Yes,Jun–Sep,images/CA-BRITISH-COLUMBIA-003,,,
CA-BRITISH-COLUMBIA-004,Kootenay National Park,Canada,CA,British Columbia,,Radium Hot Springs,"Rocky Mountain park featuring hot springs, canyons, glaciers and diverse ecosystems.",Wildlife spots|Natural spots,National Park,"Mountains, Hot Springs, Wildlife",Drivable,50.885,-115.978,1416,0,Yes,Jun–Sep,images/CA-BRITISH-COLUMBIA-004,,,
CA-BRITISH-COLUMBIA-005,Stanley Park,Canada,CA,British Columbia,,Vancouver,"Large urban park surrounded by water and known for forest trails, gardens and the seawall.",Natural spots,Park,"Urban, Forest, Seawall",Drivable,49.304,-123.144,39,0,No,May–Sep,images/CA-BRITISH-COLUMBIA-005,,,
CA-BRITISH-COLUMBIA-006,Granville Island,Canada,CA,British Columbia,,Vancouver,"Vibrant waterfront district featuring a public market, artisan shops, galleries and restaurants.",Cultural spots,Market,"Food, Shopping, Culture",Walkable,49.271,-123.134,6,0,No,Year-round,images/CA-BRITISH-COLUMBIA-006,,,
CA-BRITISH-COLUMBIA-007,Capilano Suspension Bridge,Canada,CA,British Columbia,,Vancouver,Suspension bridge and forest attraction spanning the Capilano River canyon.,Adventure spots|Natural spots,Bridge,"Forest, Adventure, Viewpoint",Drivable,49.343,-123.115,32,0,No,May–Sep,images/CA-BRITISH-COLUMBIA-007,,,
CA-BRITISH-COLUMBIA-008,Grouse Mountain,Canada,CA,British Columbia,,Vancouver,"Mountain resort offering hiking, skiing, wildlife experiences and views over Vancouver.",Natural spots,Mountain,"Hiking, Skiing, Viewpoint",Drivable,49.373,-123.099,310,0,No,Jun–Sep,images/CA-BRITISH-COLUMBIA-008,,,
CA-BRITISH-COLUMBIA-009,Whistler Blackcomb,Canada,CA,British Columbia,,Whistler,World-renowned mountain resort offering extensive winter sports and summer activities.,Adventure spots,Ski Resort,"Skiing, Hiking, Mountains",Drivable,50.116,-122.957,672,0,No,Dec–Mar,images/CA-BRITISH-COLUMBIA-009,,,
CA-BRITISH-COLUMBIA-010,Butchart Gardens,Canada,CA,British Columbia,,Victoria,Famous formal gardens created in a former limestone quarry near Victoria.,Cultural spots,Garden,"Botanical, Flowers, Landscape",Drivable,48.563,-123.465,43,0,No,Mar–Oct,images/CA-BRITISH-COLUMBIA-010,,,
CA-BRITISH-COLUMBIA-011,Pacific Rim National Park Reserve,Canada,CA,British Columbia,,Tofino,"Protected Pacific coastline combining temperate rainforest, beaches and marine environments.",Beach spots|Natural spots,National Park,"Beach, Rainforest, Hiking",Drivable,49.066,-125.743,18,0,No,Jun–Sep,images/CA-BRITISH-COLUMBIA-011,,,
CA-ONTARIO-001,CN Tower,Canada,CA,Ontario,,Toronto,Iconic Toronto landmark with observation decks overlooking the city and Lake Ontario.,Historical spots|Cultural spots,Tower,"City View, Architecture",Drivable,43.643,-79.387,90,0,No,May–Oct,images/CA-ONTARIO-001,,,
CA-ONTARIO-002,Royal Ontario Museum,Canada,CA,Ontario,,Toronto,"Major museum with extensive collections spanning natural history, world cultures and art.",Historical spots|Cultural spots|Natural spots,Museum,"History, Art, Natural History",Walkable,43.668,-79.395,120,0,No,Year-round,images/CA-ONTARIO-002,,,
CA-ONTARIO-003,Casa Loma,Canada,CA,Ontario,,Toronto,"Gothic Revival mansion and Toronto landmark with grand interiors, gardens and towers.",Historical spots|Cultural spots,Castle,"Architecture, History",Drivable,43.678,-79.409,155,0,No,Year-round,images/CA-ONTARIO-003,,,
CA-ONTARIO-004,Toronto Islands,Canada,CA,Ontario,,Toronto,"Chain of islands offering beaches, parks, cycling and skyline views across Toronto Harbour.",Beach spots|Natural spots,Island,"Beach, Park, Recreation",Flight Required,43.621,-79.378,77,0,No,May–Sep,images/CA-ONTARIO-004,,,
CA-ONTARIO-005,Niagara Falls,Canada,CA,Ontario,,Niagara Falls,World-famous group of waterfalls on the Niagara River and one of Canada's premier attractions.,Adventure spots|Natural spots,Waterfall,"Nature, Scenic, Adventure",Drivable,43.096,-79.038,179,0,No,May–Sep,images/CA-ONTARIO-005,,,
CA-ONTARIO-006,Parliament Hill,Canada,CA,Ontario,,Ottawa,Historic hilltop complex and seat of Canada's federal Parliament overlooking the Ottawa River.,Historical spots|Cultural spots,Historic Site,"Architecture, Government, Culture",Drivable,45.424,-75.7,83,0,No,May–Oct,images/CA-ONTARIO-006,,,
CA-ONTARIO-007,Rideau Canal,Canada,CA,Ontario,,Ottawa,Historic canal connecting Ottawa with Kingston and a major engineering and recreational landmark.,Natural spots,Canal,"Heritage, Boating, Recreation",Drivable,45.425,-75.696,61,0,Yes,May–Oct,images/CA-ONTARIO-007,,,
CA-QUEBEC-001,Historic District of Old Québec,Canada,CA,Quebec,,Quebec City,Walled historic district renowned for French colonial architecture and European character.,Historical spots|Cultural spots,Historic District,"Architecture, History, Culture",Drivable,46.814,-71.208,51,0,Yes,May–Oct,images/CA-QUEBEC-001,,,
CA-QUEBEC-002,Montmorency Falls,Canada,CA,Quebec,,Quebec City,Spectacular waterfall higher than Niagara Falls and located just outside Québec City.,Adventure spots|Natural spots,Waterfall,"Nature, Cable Car, Adventure",Drivable,46.89,-71.146,58,0,No,May–Oct,images/CA-QUEBEC-002,,,
CA-QUEBEC-003,Notre-Dame Basilica of Montreal,Canada,CA,Quebec,,Montreal,Historic Gothic Revival basilica famous for its richly decorated interior.,Religious/spiritual spots|Cultural spots,Basilica,"Religious, Architecture, History",Drivable,45.505,-73.556,37,0,No,Year-round,images/CA-QUEBEC-003,,,
CA-QUEBEC-004,Old Montreal,Canada,CA,Quebec,,Montreal,"Historic riverside district filled with preserved architecture, plazas, galleries and cafés.",Historical spots|Cultural spots,Historic District,"Architecture, Culture, Shopping",Drivable,45.508,-73.554,30,0,No,May–Oct,images/CA-QUEBEC-004,,,
CA-QUEBEC-005,Mount Royal,Canada,CA,Quebec,,Montreal,Urban mountain and park providing trails and panoramic views over Montreal.,Natural spots,Mountain,"Park, Hiking, Viewpoint",Drivable,45.505,-73.588,222,0,No,May–Oct,images/CA-QUEBEC-005,,,
CA-NOVA-SCOTIA-001,Halifax Waterfront,Canada,CA,Nova Scotia,,Halifax,"Lively harbourfront promenade featuring historic buildings, restaurants and attractions.",Beach spots,Waterfront,"Harbour, Walking, Culture",Drivable,44.645,-63.572,21,0,No,May–Oct,images/CA-NOVA-SCOTIA-001,,,
CA-NOVA-SCOTIA-002,Old Town Lunenburg,Canada,CA,Nova Scotia,,Lunenburg,Exceptionally preserved British colonial settlement and important Atlantic maritime heritage site.,Historical spots|Cultural spots,Historic Town,"Architecture, Maritime Heritage",Drivable,44.377,-64.31,20,0,Yes,May–Oct,images/CA-NOVA-SCOTIA-002,,,
CA-NOVA-SCOTIA-003,Peggy's Cove Lighthouse,Canada,CA,Nova Scotia,,Peggy's Cove,Historic lighthouse standing on dramatic granite rocks along Nova Scotia's Atlantic coast.,Beach spots|Historical spots,Lighthouse,"Coastal, Photography, Heritage",Drivable,44.501,-63.915,23,0,No,May–Oct,images/CA-NOVA-SCOTIA-003,,,
CA-NEWFOUNDLAND-AND-LABRADO-001,Gros Morne National Park,Canada,CA,Newfoundland and Labrador,,Gros Morne,"UNESCO-listed landscape featuring fjords, ancient rocks, mountains and exceptional geological formations.",Natural spots,National Park,"Mountains, Fjords, Geology",Drivable,49.674,-57.872,144,0,Yes,Jun–Sep,images/CA-NEWFOUNDLAND-AND-LABRADO-001,,,
CA-NEWFOUNDLAND-AND-LABRADO-002,L'Anse aux Meadows National Historic Site,Canada,CA,Newfoundland and Labrador,,L'Anse aux Meadows,Archaeological site preserving evidence of a Norse settlement from around a thousand years ago.,Historical spots,Archaeological Site,"Viking History, Heritage",Drivable,51.596,-55.531,5,0,Yes,Jun–Sep,images/CA-NEWFOUNDLAND-AND-LABRADO-002,,,
CA-NEWFOUNDLAND-AND-LABRADO-003,Signal Hill,Canada,CA,Newfoundland and Labrador,,St. John's,Historic hill overlooking St. John's Harbour and the Atlantic Ocean.,Beach spots|Historical spots|Natural spots,Historic Site,"Coastal, Military, Viewpoint",Drivable,47.571,-52.681,125,0,No,Jun–Sep,images/CA-NEWFOUNDLAND-AND-LABRADO-003,,,
CA-NEW-BRUNSWICK-001,Hopewell Rocks,Canada,CA,New Brunswick,,Saint John,Distinctive sea stacks and rock formations exposed by the Bay of Fundy's high tides.,Natural spots,Rock Formation,"Tidal, Geology, Nature",Drivable,45.819,-64.57,0,0,No,May–Oct,images/CA-NEW-BRUNSWICK-001,,,
CA-NEW-BRUNSWICK-002,Fundy National Park,Canada,CA,New Brunswick,,Fundy,"Protected Bay of Fundy landscape featuring coastal cliffs, forests, waterfalls and tidal environments.",Natural spots,National Park,"Coast, Forest, Waterfalls",Drivable,45.593,-65.01,305,0,No,May–Oct,images/CA-NEW-BRUNSWICK-002,,,
CA-PRINCE-EDWARD-ISLAND-001,Prince Edward Island National Park,Canada,CA,Prince Edward Island,,Cavendish,"Coastal park known for red cliffs, sandy beaches, dunes and scenic landscapes.",Beach spots|Natural spots,National Park,"Beach, Dunes, Coast",Drivable,46.414,-63.23,0,0,No,Jun–Sep,images/CA-PRINCE-EDWARD-ISLAND-001,,,
CA-MANITOBA-001,Churchill,Canada,CA,Manitoba,,Churchill,"World-famous northern destination for polar bear viewing, beluga whales and aurora experiences.",Wildlife spots,Wildlife Destination,"Polar Bears, Northern Lights, Wildlife",Drivable,58.768,-94.165,9,0,No,Oct–Nov,images/CA-MANITOBA-001,,,
CA-ALBERTA-016,Royal Tyrrell Museum,Canada,CA,Alberta,,Drumheller,Leading paleontology museum with extensive dinosaur fossils and interactive exhibits.,Historical spots,Museum,"Dinosaurs, Paleontology",Walkable,51.488,-112.799,718,0,No,Year-round,images/CA-ALBERTA-016,,,
CA-SASKATCHEWAN-001,Dinosaur Provincial Park,Canada,CA,Saskatchewan,,Dinosaur Provincial Park,Fossil-rich badlands landscape containing major dinosaur discoveries and exceptional geological formations.,Natural spots,Park,"Fossils, Geology, Badlands",Drivable,50.767,-111.585,707,0,Yes,May–Sep,images/CA-SASKATCHEWAN-001,,,
CA-ALBERTA-017,Waterton Lakes National Park,Canada,CA,Alberta,,Waterton,"Scenic park where prairie meets the Rocky Mountains, forming part of the Waterton-Glacier landscape.",Wildlife spots|Natural spots,National Park,"Mountains, Lakes, Wildlife",Drivable,49.052,-113.901,1277,0,Yes,Jun–Sep,images/CA-ALBERTA-017,,,
CA-YUKON-001,Kluane National Park and Reserve,Canada,CA,Yukon,,Kluane,"Vast wilderness containing massive icefields, high mountains and Mount Logan.",Wildlife spots|Natural spots,National Park,"Glaciers, Mountains, Wildlife",Drivable,60.752,-137.511,599,0,Yes,Jun–Sep,images/CA-YUKON-001,,,
CA-NORTHWEST-TERRITORIES-001,Nahanni National Park Reserve,Canada,CA,Northwest Territories,,Nahanni,"Remote wilderness famous for the South Nahanni River, deep canyons, waterfalls and mountains.",Natural spots,National Park,"Canyons, Rivers, Mountains",Drivable,61.5,-125.75,1032,0,Yes,Jun–Aug,images/CA-NORTHWEST-TERRITORIES-001,,,
CA-NORTHWEST-TERRITORIES-002,Virginia Falls,Canada,CA,Northwest Territories,,Nahanni,"Massive waterfall on the South Nahanni River, roughly twice the height of Niagara Falls.",Natural spots,Waterfall,"River, Wilderness, Scenic",Flight Required,61.56,-125.38,812,0,Yes,Jun–Aug,images/CA-NORTHWEST-TERRITORIES-002,,,
CA-ALBERTA-018,Wood Buffalo National Park,Canada,CA,Alberta,,Fort Smith,"Canada's largest national park, protecting boreal ecosystems, wetlands and important wildlife populations.",Wildlife spots|Natural spots,National Park,"Wildlife, Wetlands, Dark Sky",Drivable,59.37,-112.9,250,0,Yes,Jun–Sep,images/CA-ALBERTA-018,,,
CA-QUEBEC-006,Forillon National Park,Canada,CA,Quebec,,Gaspé,"Spectacular Gaspé peninsula park featuring sea cliffs, forests, beaches and marine wildlife.",Wildlife spots|Natural spots,National Park,"Coast, Cliffs, Wildlife",Drivable,48.9,-64.35,29,0,No,Jun–Sep,images/CA-QUEBEC-006,,,
CA-QUEBEC-007,Percé Rock,Canada,CA,Quebec,,Percé,Iconic limestone sea stack rising from the Gulf of St. Lawrence near Percé.,Beach spots|Natural spots,Rock Formation,"Coastal, Geology, Scenic",Drivable,48.516,-64.21,0,0,No,Jun–Sep,images/CA-QUEBEC-007,,,
CM-CENTRE-001,Mefou National Park,Cameroon,CM,Centre,,Yaoundé,Wildlife sanctuary near Yaoundé known for rescued primates and forest surroundings.,Wildlife spots|Natural spots,National Park,"Wildlife, Primates",Drivable,3.583,11.55,700,0,No,Nov–Feb,images/CM-CENTRE-001,,,
CM-CENTRE-002,National Museum of Cameroon,Cameroon,CM,Centre,,Yaoundé,"Museum presenting Cameroonian history, traditional art and cultural heritage.",Historical spots,Museum,"History, Culture",Walkable,3.866,11.517,750,0,No,Nov–Feb,images/CM-CENTRE-002,,,
CM-CENTRE-003,Mvog-Betsi Zoo,Cameroon,CM,Centre,,Yaoundé,Urban zoological garden showcasing native Cameroonian wildlife and supporting conservation education.,Wildlife spots,Zoo,"Wildlife, Education",Drivable,3.866,11.483,740,0,No,Nov–Feb,images/CM-CENTRE-003,,,
CM-CENTRE-004,Mont Fébé,Cameroon,CM,Centre,,Yaoundé,Hill overlooking Yaoundé with panoramic views and a popular recreational setting.,Natural spots,Mountain,"Viewpoint, Nature",Drivable,3.9,11.483,1000,0,No,Nov–Feb,images/CM-CENTRE-004,,,
CM-CENTRE-005,Reunification Monument,Cameroon,CM,Centre,,Yaoundé,Landmark commemorating the reunification of the English- and French-speaking territories of Cameroon.,Historical spots|Cultural spots,Monument,"History, Architecture",Drivable,3.868,11.521,750,0,No,Nov–Feb,images/CM-CENTRE-005,,,
CM-CENTRE-006,Benedictine Monastery of Mont Febe,Cameroon,CM,Centre,,Yaoundé,Religious complex on Mont Fébé associated with Benedictine traditions and scenic highland surroundings.,Religious/spiritual spots,Religious Site,"Monastery, Culture",Drivable,3.905,11.48,1000,0,No,Nov–Feb,images/CM-CENTRE-006,,,
CM-LITTORAL-001,La Nouvelle Liberté,Cameroon,CM,Littoral,,Douala,Large public sculpture and prominent landmark in Douala's Deido district.,Historical spots|Cultural spots,Monument,"Public Art, Culture",Drivable,4.07,9.733,15,0,No,Nov–Feb,images/CM-LITTORAL-001,,,
CM-LITTORAL-002,Doual'art,Cameroon,CM,Littoral,,Douala,Contemporary art organization and cultural space supporting artistic projects in Douala.,Cultural spots,Art Centre,"Contemporary Art, Culture",Drivable,4.05,9.7,15,0,No,Nov–Feb,images/CM-LITTORAL-002,,,
CM-LITTORAL-003,Eko Market,Cameroon,CM,Littoral,,Douala,Major urban market offering a lively introduction to local commerce and daily life.,Cultural spots,Market,"Shopping, Local Culture",Walkable,4.05,9.708,15,0,No,Nov–Feb,images/CM-LITTORAL-003,,,
CM-LITTORAL-004,Wouri River,Cameroon,CM,Littoral,,Douala,Major river flowing through Douala and an important geographic feature of Cameroon's largest city.,Natural spots,River,"Nature, Scenic",Drivable,4.05,9.7,5,0,No,Nov–Feb,images/CM-LITTORAL-004,,,
CM-WEST-001,Chefferie Bandjoun,Cameroon,CM,West,,Bafoussam,"Traditional Bamileke chiefdom complex showcasing royal architecture, culture and craftsmanship.",Cultural spots,Cultural Site,"Traditional Architecture, Heritage",Drivable,5.383,10.4,1500,0,No,Nov–Feb,images/CM-WEST-001,,,
CM-WEST-002,Bandjoun Museum,Cameroon,CM,West,,Bandjoun,"Cultural museum presenting Bamileke traditions, art and heritage.",Historical spots|Cultural spots,Museum,"Culture, Traditional Art",Walkable,5.383,10.4,1500,0,No,Nov–Feb,images/CM-WEST-002,,,
CM-WEST-003,Royal Palace of Foumban,Cameroon,CM,West,,Foumban,Historic royal palace of the Bamoun kingdom and one of the region's major cultural attractions.,Historical spots|Cultural spots,Palace,"History, Traditional Architecture",Walkable,5.733,10.9,1200,0,No,Nov–Feb,images/CM-WEST-003,,,
CM-WEST-004,Bamoun Royal Museum,Cameroon,CM,West,,Foumban,"Museum documenting the history, rulers, art and traditions of the Bamoun Kingdom.",Historical spots,Museum,"History, Culture",Walkable,5.733,10.9,1200,0,No,Nov–Feb,images/CM-WEST-004,,,
CM-WEST-005,Foumban Sultanate,Cameroon,CM,West,,Foumban,"Historic center of the Bamoun Kingdom known for royal traditions, crafts and cultural heritage.",Cultural spots,Cultural Site,"Royal Heritage, Culture",Drivable,5.733,10.9,1200,0,No,Nov–Feb,images/CM-WEST-005,,,
CM-WEST-006,Baleng Lake,Cameroon,CM,West,,Bafoussam,Highland lake surrounded by agricultural and rural landscapes in western Cameroon.,Natural spots,Lake,"Nature, Scenic",Drivable,5.55,10.3,1400,0,No,Nov–Feb,images/CM-WEST-006,,,
CM-NORTHWEST-001,Bamenda Highlands,Cameroon,CM,Northwest,,Bamenda,"Scenic highland region characterized by rolling mountains, valleys and traditional communities.",Natural spots,Mountain Region,"Mountains, Scenic",Drivable,5.96,10.15,1400,0,No,Nov–Feb,images/CM-NORTHWEST-001,,,
CM-NORTHWEST-002,Menchum Falls,Cameroon,CM,Northwest,,Bamenda,Spectacular waterfall in the Northwest Region where the Menchum River drops through a dramatic landscape.,Natural spots,Waterfall,"Nature, Scenic",Drivable,6.35,10.05,900,0,No,Nov–Feb,images/CM-NORTHWEST-002,,,
CM-NORTHWEST-003,Bafut Palace,Cameroon,CM,Northwest,,Bamenda,Historic Fon's palace complex representing the cultural heritage of the Bafut people.,Historical spots|Cultural spots,Palace,"Culture, Traditional Architecture",Walkable,6.083,10.1,1200,0,No,Nov–Feb,images/CM-NORTHWEST-003,,,
CM-NORTHWEST-004,Bafut Museum,Cameroon,CM,Northwest,,Bamenda,Cultural museum associated with the Bafut traditional kingdom and its heritage.,Historical spots,Museum,"Culture, History",Walkable,6.083,10.1,1200,0,No,Nov–Feb,images/CM-NORTHWEST-004,,,
CM-NORTHWEST-005,Bamenda Main Market,Cameroon,CM,Northwest,,Bamenda,Busy city market providing an everyday view of commerce and local products.,Cultural spots,Market,"Shopping, Local Culture",Walkable,5.96,10.15,1400,0,No,Nov–Feb,images/CM-NORTHWEST-005,,,
CM-NORTHWEST-006,Kumbo Highlands,Cameroon,CM,Northwest,,Fundong,Highland landscapes around the Kumbo area known for mountain scenery and rural culture.,Natural spots,Mountain Region,"Mountains, Hiking",Drivable,6.2,10.67,1800,0,No,Nov–Feb,images/CM-NORTHWEST-006,,,
CM-SOUTHWEST-001,Limbe Botanical Garden,Cameroon,CM,Southwest,,Limbe,Historic botanical garden containing tropical plant collections and scenic coastal vegetation.,Cultural spots|Natural spots,Garden,"Botanical, Nature",Drivable,4.017,9.2,20,0,No,Nov–Feb,images/CM-SOUTHWEST-001,,,
CM-SOUTHWEST-002,Limbe Wildlife Centre,Cameroon,CM,Southwest,,Limbe,Wildlife rescue and rehabilitation center known for conservation work with threatened primates.,Wildlife spots,Wildlife Centre,"Primates, Conservation",Drivable,4.02,9.21,20,0,No,Nov–Feb,images/CM-SOUTHWEST-002,,,
CM-SOUTHWEST-003,Limbe Beach,Cameroon,CM,Southwest,,Limbe,Black-sand coastal beach near Limbe with views of the Gulf of Guinea.,Beach spots,Beach,"Coastal, Relaxation",Drivable,4.01,9.21,5,0,No,Nov–Feb,images/CM-SOUTHWEST-003,,,
CM-SOUTHWEST-004,Down Beach,Cameroon,CM,Southwest,,Limbe,"Popular waterfront area in Limbe known for coastal scenery, fishing activity and seafood.",Beach spots,Beach,"Coastal, Fishing",Drivable,4.007,9.214,5,0,No,Nov–Feb,images/CM-SOUTHWEST-004,,,
CM-SOUTHWEST-005,Mount Cameroon,Cameroon,CM,Southwest,,Limbe,West Africa's highest mountain and an active volcano offering challenging trekking and exceptional highland scenery.,Adventure spots,Volcano,"Mountains, Hiking",Drivable,4.217,9.172,4040,0,No,Dec–Feb,images/CM-SOUTHWEST-005,,,
CM-SOUTHWEST-006,Mount Cameroon National Park,Cameroon,CM,Southwest,,Buea,"Protected volcanic landscape surrounding Mount Cameroon with montane forests, wildlife and trekking routes.",Wildlife spots|Adventure spots|Natural spots,National Park,"Volcano, Hiking, Wildlife",Drivable,4.2,9.17,2000,0,No,Dec–Feb,images/CM-SOUTHWEST-006,,,
CM-SOUTHWEST-007,Buea Mountain View,Cameroon,CM,Southwest,,Buea,Highland viewpoints around Buea offering broad views toward Mount Cameroon and the coast.,Natural spots,Viewpoint,"Mountains, Scenic",Drivable,4.156,9.241,900,0,No,Dec–Feb,images/CM-SOUTHWEST-007,,,
CM-SOUTHWEST-008,Kribi Beach,Cameroon,CM,Southwest,,Kribi,Popular Atlantic beach destination known for sandy shores and tropical coastal scenery.,Beach spots,Beach,"Coastal, Relaxation",Drivable,2.937,9.908,5,0,No,Nov–Feb,images/CM-SOUTHWEST-008,,,
CM-SOUTH-001,Lobé Falls,Cameroon,CM,South,,Kribi,Rare coastal waterfall where the Lobé River cascades directly into the Atlantic Ocean.,Beach spots|Natural spots,Waterfall,"Coastal, Nature",Drivable,2.883,9.9,10,0,No,Nov–Feb,images/CM-SOUTH-001,,,
CM-SOUTH-002,Lobé River,Cameroon,CM,South,,Kribi,River flowing through tropical forest before reaching the Atlantic at the famous Lobé Falls.,Natural spots,River,"Nature, Scenic",Drivable,2.89,9.9,10,0,No,Nov–Feb,images/CM-SOUTH-002,,,
CM-SOUTH-003,Chutes de la Lobé,Cameroon,CM,South,,Kribi,Iconic waterfall system at the Atlantic coast and one of Cameroon's best-known natural attractions.,Natural spots,Waterfall,"Nature, Scenic",Drivable,2.883,9.9,10,0,No,Nov–Feb,images/CM-SOUTH-003,,,
CM-SOUTH-004,Campo Ma'an National Park,Cameroon,CM,South,,Campo,Large protected rainforest landscape containing diverse wildlife and ecosystems; part of a major biodiversity region.,Wildlife spots|Natural spots,National Park,"Rainforest, Wildlife",Drivable,2.35,10.05,200,0,Yes,Dec–Feb,images/CM-SOUTH-004,,,
CM-SOUTH-005,Campo Beach,Cameroon,CM,South,,Campo,Remote Atlantic beach near the Campo area surrounded by tropical forest and coastal scenery.,Beach spots|Natural spots,Beach,"Coastal, Nature",Drivable,2.367,9.817,5,0,No,Dec–Feb,images/CM-SOUTH-005,,,
