Country,State / Province,City / Region,Tourist Place,Category,Subcategory,Best Season,UNESCO,Description,Latitude,Longitude,Altitude
Egypt,Luxor Governorate,Luxor,Valley of the Kings,Archaeological Site,"Royal Tombs, History, Tutankhamun",Oct–Apr,Yes,Ancient burial ground containing rock-cut tombs of New Kingdom Pharaohs.,25.74,32.601,140
Egypt,Luxor Governorate,Luxor,Luxor Temple,Archaeological Site,"Ancient Temple, Pylons, Statues",Oct–Apr,Yes,Large ancient Egyptian temple complex located on the east bank of the Nile.,25.7,32.639,76
Egypt,Aswan Governorate,Abu Simbel,Abu Simbel Temples,Archaeological Site,"Rock Temples, Ramesses II",Oct–Apr,Yes,Colossal twin rock-cut temples carved out of the mountain side under Ramesses II.,22.337,31.626,182
Egypt,Aswan Governorate,Aswan,Philae Temple Complex,Archaeological Site,"Isis Temple, Island, History",Oct–Apr,Yes,"Island temple complex dedicated to the goddess Isis, relocated from floodwaters.",24.026,32.884,95
Egypt,Red Sea Governorate,Hurghada,Giftun Islands & Red Sea Reefs,Marine Park,"Diving, Coral Reefs, Beaches",Oct–May,No,Renowned Red Sea marine reserve famous for coral reefs and scuba diving.,27.23,33.81,2
Egypt,South Sinai Governorate,Sharm El-Sheikh,Ras Muhammad National Park,Marine Park,"Snorkeling, Diving, Corals",Oct–Apr,No,Protected peninsula at the southern tip of Sinai known for rich marine biodiversity.,27.73,34.25,10
Egypt,South Sinai Governorate,Saint Catherine,Mount Sinai & St. Catherine's Monastery,Monastery / Mountain,"Religious, History, Trekking",Oct–Apr,Yes,Sacred mountain peak and one of the world's oldest working Christian monasteries.,28.539,33.975,1586
Egypt,Cairo Governorate,Cairo,Khan el-Khalili Bazaar,Bazaar / Market,"Culture, Souvenirs, Islamic Cairo",Year-round,Yes,"Famous historic souk in Islamic Cairo brimming with spices, lamps, and crafts.",30.048,31.262,23
Egypt,New Valley Governorate,Farafra,White Desert National Park,National Park,"Desert, Chalk Formations, Nature",Oct–Mar,No,Surreal desert landscape featuring chalk rock formations carved by wind.,27.06,27.97,120
Egypt,Matrouh Governorate,Siwa Oasis,Siwa Oasis & Temple of the Oracle,Oasis,"Desert, Salt Lakes, History",Oct–Apr,No,"Isolated desert oasis rich in Berber culture, olive groves, and ancient ruins.",29.203,25.52,-19
El Salvador,Santa Ana,Chalchuapa,Tazumal Archaeological Site,Archaeological Site,"Mayan Ruins, Pyramids",Nov–Apr,No,Most significant and best-preserved Maya ruin site in El Salvador.,13.979,-89.674,700
El Salvador,Ahuachapán,Ataco / Juayúa,Ruta de las Flores,Scenic Route,"Coffee Plantations, Towns, Food",Nov–Apr,No,"Picturesque mountain route known for colorful towns, coffee farms, and food festivals.",13.869,-89.848,1200
El Salvador,Santa Ana,Santa Ana,Santa Ana Volcano (Ilamatepec),Volcano,"Hiking, Crater Lake, Views",Nov–Apr,No,Highest volcano in El Salvador offering treks to a vivid turquoise crater lake.,13.853,-89.631,2381
El Salvador,La Libertad,El Tunco,El Tunco & El Zonte Beaches,Beach / Surfing,"Surfing, Nightlife, Sunset",Nov–Apr,No,World-renowned Pacific coast surf village with black sand beaches.,13.493,-89.381,5
El Salvador,San Salvador,San Salvador,Historic Center of San Salvador,Historic Center,"Cathedral, Plaza, Architecture",Nov–Apr,No,Revitalized city core featuring the Metropolitan Cathedral and National Palace.,13.699,-89.191,658
El Salvador,La Libertad,Joya de Cerén,Joya de Cerén Archaeological Site,Archaeological Site,"Mayan Village, History",Nov–Apr,Yes,"Pre-Hispanic farming village buried in volcanic ash, known as the Pompeii of the Americas.",13.827,-89.369,450
El Salvador,Usulután,Jiquilisco,Jiquilisco Bay Biosphere Reserve,Biosphere Reserve,"Mangroves, Sea Turtles, Kayaking",Nov–Apr,No,Vast coastal estuary protecting sea turtle nesting grounds and mangrove forests.,13.2,-88.583,2
Equatorial Guinea,Bioko Norte,Malabo,Malabo National Park & Cathedral,National Park / City,"Architecture, Coastal, Culture",Dec–Feb,No,"Capital city park featuring walking paths, artwork, and colonial Santa Isabel Cathedral.",3.75,8.783,10
Equatorial Guinea,Bioko Sur,Luba,Ureca Waterfalls & Turtle Beach,Nature / Beach,"Waterfalls, Sea Turtles, Rainforest",Nov–Feb,No,Wet coastal region famous for pristine waterfalls and marine turtle nesting sites.,3.425,8.575,50
Equatorial Guinea,Centro Sur,Evinayong,Monte Alén National Park,National Park,"Rainforest, Wildlife, Gorillas",Dec–Feb,No,"Dense tropical rainforest sanctuary home to goliath frogs, gorillas, and elephants.",1.433,10.333,1100
Eritrea,Maekel,Asmara,Asmara Art Deco Architecture,Historic City,"Art Deco, Colonial, Modernist",Oct–Apr,Yes,Capital city recognized for exceptional Italian modernist and Art Deco architecture.,15.323,38.925,2325
Eritrea,Northern Red Sea,Massawa,Massawa Old Town & Red Sea Coast,Historic Port,"Ottoman Architecture, Sea",Oct–Mar,No,Historic port city featuring Ottoman-style coral-stone buildings and island harbors.,15.608,39.463,2
Eritrea,Northern Red Sea,Dahlak Archipelago,Dahlak Marine National Park,Archipelago,"Diving, Uninhabited Islands, Corals",Nov–Mar,No,Unspoiled Red Sea island chain celebrated for crystal waters and rich marine life.,15.833,40,0
Eritrea,Debub,Senafe,Qohaito Archaeological Site,Archaeological Site,"Ancient Ruins, Axumite",Oct–Apr,No,High-altitude ancient city ruins with pre-Axumite structures and rock art.,14.883,39.4,2600
Estonia,Harju County,Tallinn,Tallinn Old Town (Toompea),Medieval Town,"Cobblestone, Towers, History",May–Sep,Yes,Exceptionally preserved 13th-century Hanseatic walled city with cobblestone streets.,59.437,24.754,30
Estonia,Laane-Viru County,Palmse,Lahemaa National Park,National Park,"Bogs, Manor Houses, Coast",May–Sep,No,"Estonia's oldest national park featuring coastal ecosystems, pine forests, and peat bogs.",59.567,25.8,20
Estonia,Tartu County,Tartu,Tartu Old Town & University,Historic Town,"Culture, University, Museums",May–Sep,No,Estonia's intellectual heart known for neo-classical university buildings and river parks.,58.38,26.723,57
Estonia,Saare County,Kuressaare,Kuressaare Episcopal Castle & Saaremaa,Castle / Island,"Fortress, Nature, Baltic Coast",May–Sep,No,Best-preserved medieval bishop's fortress in the Baltics set on Saaremaa Island.,58.248,22.479,5
Estonia,Pärnu County,Pärnu,Pärnu Beach & Resort,Beach Resort,"Sandy Beaches, Spas, Promenade",Jun–Aug,No,Estonia's summer capital famed for white sandy Baltic beaches and historic wooden villas.,58.385,24.497,3
Estonia,Harju County,Keila-Joa,Keila Waterfall,Waterfall,"Nature, Park, Manor",Apr–Oct,No,Scenic 6-meter-high cascading waterfall set in a lush manor park near Tallinn.,59.397,24.298,15
Eswatini,Hhohho,Lobamba,Ezulwini Valley (Valley of Heavens),Valley / Culture,"Culture, Wildlife, Crafts",May–Sep,No,"Cultural heartland of Eswatini containing royal palaces, craft markets, and sanctuaries.",-26.417,31.183,700
Eswatini,Lubombo,Simunye,Hlane Royal National Park,National Park,"Safari, Rhinos, Lions",May–Sep,No,"Eswatini's largest protected area, famous for white rhinos, lions, and elephants.",-26.267,31.883,300
Eswatini,Manzini,Malkerns,Mlilwane Wildlife Sanctuary,Wildlife Sanctuary,"Hiking, Cycling, Zebras",May–Sep,No,Pioneer conservation area offering guided walking safaris and mountain biking.,-26.483,31.183,720
Eswatini,Hhohho,Piggs Peak,Phophonyane Falls Nature Reserve,Nature Reserve,"Waterfalls, Trails, Birding",May–Sep,No,Lush forested reserve centered around cascading waterfalls and rich birdlife.,-25.9,31.25,850
Ethiopia,Amhara Region,Lalibela,Rock-Hewn Churches of Lalibela,Archaeological Site,"Monolithic Churches, Religious",Oct–Mar,Yes,11 medieval monolithic cave churches hand-hewn directly out of solid volcanic rock.,12.032,39.041,2500
Ethiopia,Amhara Region,Gondar,Fasil Ghebbi (Royal Enclosure),Fortress,"Castles, History, Emperors",Oct–Mar,Yes,Fortified castle complex served as the residence of 17th-century Ethiopian emperors.,12.608,37.468,2133
Ethiopia,Amhara Region,Debark,Simien Mountains National Park,National Park,"Trekking, Gelada Baboons, Peaks",Oct–Mar,Yes,Dramatic jagged mountain plateau famous for Ras Dashen and endemic Gelada baboons.,13.25,38,3300
Ethiopia,Tigray Region,Axum,Obelisk of Axum & St. Mary of Zion,Archaeological Site,"Stelae, History, Ancient Empire",Oct–Mar,Yes,Ancient capital of the Aksumite Kingdom featuring monolithic granite obelisks.,14.131,38.719,2130
Ethiopia,Afar Region,Danakil Depression,Dallol & Erta Ale Volcano,Geothermal Field,"Active Volcano, Lava Lakes, Salt",Nov–Feb,No,"One of the lowest, hottest, and most otherworldly geothermal volcanic landscapes on Earth.",14.242,40.3,-125
Ethiopia,Harari Region,Harar,Harar Jugol (Fortified Historic Town),Historic Town,"Islamic Heritage, Hyenas, Walls",Oct–Mar,Yes,"Sacred walled city with 82 mosques, colorful alleyways, and nocturnal hyena feeding.",9.31,42.12,1885
Ethiopia,SNNPR,Jinka,Omo Valley,Cultural Region,"Indigenous Tribes, Traditions",Jun–Oct,Yes,Culturally unique valley home to distinct indigenous groups including the Mursi and Hamer.,5.65,36.567,1000
Ethiopia,Oromia Region,Batu,Bale Mountains National Park,National Park,"Ethiopian Wolves, Trekking",Oct–Mar,Yes,High-altitude alpine plateau providing sanctuary for the endangered Ethiopian wolf.,6.883,39.733,3000
