Country,State / Province,City / Region,Tourist Place,Category,Subcategory,Best Season,UNESCO,Description,Latitude,Longitude,Altitude
Canada,Ontario,Niagara Falls,Niagara Falls,Waterfall,"Nature, Scenic, Adventure",May–Sep,No,World-famous group of waterfalls on the Niagara River and one of Canada's premier attractions.,43.096,-79.038,179
Canada,Ontario,Ottawa,Parliament Hill,Historic Site,"Architecture, Government, Culture",May–Oct,No,Historic hilltop complex and seat of Canada's federal Parliament overlooking the Ottawa River.,45.424,-75.7,83
Canada,Ontario,Ottawa,Rideau Canal,Canal,"Heritage, Boating, Recreation",May–Oct,Yes,Historic canal connecting Ottawa with Kingston and a major engineering and recreational landmark.,45.425,-75.696,61
Canada,Quebec,Quebec City,Historic District of Old Québec,Historic District,"Architecture, History, Culture",May–Oct,Yes,Walled historic district renowned for French colonial architecture and European character.,46.814,-71.208,51
Canada,Quebec,Quebec City,Montmorency Falls,Waterfall,"Nature, Cable Car, Adventure",May–Oct,No,Spectacular waterfall higher than Niagara Falls and located just outside Québec City.,46.89,-71.146,58
Canada,Quebec,Montreal,Notre-Dame Basilica of Montreal,Basilica,"Religious, Architecture, History",Year-round,No,Historic Gothic Revival basilica famous for its richly decorated interior.,45.505,-73.556,37
Canada,Quebec,Montreal,Old Montreal,Historic District,"Architecture, Culture, Shopping",May–Oct,No,"Historic riverside district filled with preserved architecture, plazas, galleries and cafés.",45.508,-73.554,30
Canada,Quebec,Montreal,Mount Royal,Mountain,"Park, Hiking, Viewpoint",May–Oct,No,Urban mountain and park providing trails and panoramic views over Montreal.,45.505,-73.588,222
Canada,Nova Scotia,Halifax,Halifax Waterfront,Waterfront,"Harbour, Walking, Culture",May–Oct,No,"Lively harbourfront promenade featuring historic buildings, restaurants and attractions.",44.645,-63.572,21
Canada,Nova Scotia,Lunenburg,Old Town Lunenburg,Historic Town,"Architecture, Maritime Heritage",May–Oct,Yes,Exceptionally preserved British colonial settlement and important Atlantic maritime heritage site.,44.377,-64.31,20
Canada,Nova Scotia,Peggy's Cove,Peggy's Cove Lighthouse,Lighthouse,"Coastal, Photography, Heritage",May–Oct,No,Historic lighthouse standing on dramatic granite rocks along Nova Scotia's Atlantic coast.,44.501,-63.915,23
Canada,Newfoundland and Labrador,Gros Morne,Gros Morne National Park,National Park,"Mountains, Fjords, Geology",Jun–Sep,Yes,"UNESCO-listed landscape featuring fjords, ancient rocks, mountains and exceptional geological formations.",49.674,-57.872,144
Canada,Newfoundland and Labrador,L'Anse aux Meadows,L'Anse aux Meadows National Historic Site,Archaeological Site,"Viking History, Heritage",Jun–Sep,Yes,Archaeological site preserving evidence of a Norse settlement from around a thousand years ago.,51.596,-55.531,5
Canada,Newfoundland and Labrador,St. John's,Signal Hill,Historic Site,"Coastal, Military, Viewpoint",Jun–Sep,No,Historic hill overlooking St. John's Harbour and the Atlantic Ocean.,47.571,-52.681,125
Canada,New Brunswick,Saint John,Hopewell Rocks,Rock Formation,"Tidal, Geology, Nature",May–Oct,No,Distinctive sea stacks and rock formations exposed by the Bay of Fundy's high tides.,45.819,-64.57,0
Canada,New Brunswick,Fundy,Fundy National Park,National Park,"Coast, Forest, Waterfalls",May–Oct,No,"Protected Bay of Fundy landscape featuring coastal cliffs, forests, waterfalls and tidal environments.",45.593,-65.01,305
Canada,Prince Edward Island,Cavendish,Prince Edward Island National Park,National Park,"Beach, Dunes, Coast",Jun–Sep,No,"Coastal park known for red cliffs, sandy beaches, dunes and scenic landscapes.",46.414,-63.23,0
Canada,Manitoba,Churchill,Churchill,Wildlife Destination,"Polar Bears, Northern Lights, Wildlife",Oct–Nov,No,"World-famous northern destination for polar bear viewing, beluga whales and aurora experiences.",58.768,-94.165,9
Canada,Alberta,Drumheller,Royal Tyrrell Museum,Museum,"Dinosaurs, Paleontology",Year-round,No,Leading paleontology museum with extensive dinosaur fossils and interactive exhibits.,51.488,-112.799,718
Canada,Saskatchewan,Dinosaur Provincial Park,Dinosaur Provincial Park,Park,"Fossils, Geology, Badlands",May–Sep,Yes,Fossil-rich badlands landscape containing major dinosaur discoveries and exceptional geological formations.,50.767,-111.585,707
Canada,Alberta,Waterton,Waterton Lakes National Park,National Park,"Mountains, Lakes, Wildlife",Jun–Sep,Yes,"Scenic park where prairie meets the Rocky Mountains, forming part of the Waterton-Glacier landscape.",49.052,-113.901,1277
Canada,Yukon,Kluane,Kluane National Park and Reserve,National Park,"Glaciers, Mountains, Wildlife",Jun–Sep,Yes,"Vast wilderness containing massive icefields, high mountains and Mount Logan.",60.752,-137.511,599
Canada,Northwest Territories,Nahanni,Nahanni National Park Reserve,National Park,"Canyons, Rivers, Mountains",Jun–Aug,Yes,"Remote wilderness famous for the South Nahanni River, deep canyons, waterfalls and mountains.",61.5,-125.75,1032
Canada,Northwest Territories,Nahanni,Virginia Falls,Waterfall,"River, Wilderness, Scenic",Jun–Aug,Yes,"Massive waterfall on the South Nahanni River, roughly twice the height of Niagara Falls.",61.56,-125.38,812
Canada,Alberta,Fort Smith,Wood Buffalo National Park,National Park,"Wildlife, Wetlands, Dark Sky",Jun–Sep,Yes,"Canada's largest national park, protecting boreal ecosystems, wetlands and important wildlife populations.",59.37,-112.9,250
Canada,Quebec,Gaspé,Forillon National Park,National Park,"Coast, Cliffs, Wildlife",Jun–Sep,No,"Spectacular Gaspé peninsula park featuring sea cliffs, forests, beaches and marine wildlife.",48.9,-64.35,29
Canada,Quebec,Percé,Percé Rock,Rock Formation,"Coastal, Geology, Scenic",Jun–Sep,No,Iconic limestone sea stack rising from the Gulf of St. Lawrence near Percé.,48.516,-64.21,0
Cameroon,Centre,Yaoundé,Mefou National Park,National Park,"Wildlife, Primates",Nov–Feb,No,Wildlife sanctuary near Yaoundé known for rescued primates and forest surroundings.,3.583,11.55,700
Cameroon,Centre,Yaoundé,National Museum of Cameroon,Museum,"History, Culture",Nov–Feb,No,"Museum presenting Cameroonian history, traditional art and cultural heritage.",3.866,11.517,750
Cameroon,Centre,Yaoundé,Mvog-Betsi Zoo,Zoo,"Wildlife, Education",Nov–Feb,No,Urban zoological garden showcasing native Cameroonian wildlife and supporting conservation education.,3.866,11.483,740
Cameroon,Centre,Yaoundé,Mont Fébé,Mountain,"Viewpoint, Nature",Nov–Feb,No,Hill overlooking Yaoundé with panoramic views and a popular recreational setting.,3.9,11.483,1000
Cameroon,Centre,Yaoundé,Reunification Monument,Monument,"History, Architecture",Nov–Feb,No,Landmark commemorating the reunification of the English- and French-speaking territories of Cameroon.,3.868,11.521,750
Cameroon,Centre,Yaoundé,Benedictine Monastery of Mont Febe,Religious Site,"Monastery, Culture",Nov–Feb,No,Religious complex on Mont Fébé associated with Benedictine traditions and scenic highland surroundings.,3.905,11.48,1000
Cameroon,Littoral,Douala,La Nouvelle Liberté,Monument,"Public Art, Culture",Nov–Feb,No,Large public sculpture and prominent landmark in Douala's Deido district.,4.07,9.733,15
Cameroon,Littoral,Douala,Doual'art,Art Centre,"Contemporary Art, Culture",Nov–Feb,No,Contemporary art organization and cultural space supporting artistic projects in Douala.,4.05,9.7,15
Cameroon,Littoral,Douala,Eko Market,Market,"Shopping, Local Culture",Nov–Feb,No,Major urban market offering a lively introduction to local commerce and daily life.,4.05,9.708,15
Cameroon,Littoral,Douala,Wouri River,River,"Nature, Scenic",Nov–Feb,No,Major river flowing through Douala and an important geographic feature of Cameroon's largest city.,4.05,9.7,5
Cameroon,West,Bafoussam,Chefferie Bandjoun,Cultural Site,"Traditional Architecture, Heritage",Nov–Feb,No,"Traditional Bamileke chiefdom complex showcasing royal architecture, culture and craftsmanship.",5.383,10.4,1500
Cameroon,West,Bandjoun,Bandjoun Museum,Museum,"Culture, Traditional Art",Nov–Feb,No,"Cultural museum presenting Bamileke traditions, art and heritage.",5.383,10.4,1500
Cameroon,West,Foumban,Royal Palace of Foumban,Palace,"History, Traditional Architecture",Nov–Feb,No,Historic royal palace of the Bamoun kingdom and one of the region's major cultural attractions.,5.733,10.9,1200
Cameroon,West,Foumban,Bamoun Royal Museum,Museum,"History, Culture",Nov–Feb,No,"Museum documenting the history, rulers, art and traditions of the Bamoun Kingdom.",5.733,10.9,1200
Cameroon,West,Foumban,Foumban Sultanate,Cultural Site,"Royal Heritage, Culture",Nov–Feb,No,"Historic center of the Bamoun Kingdom known for royal traditions, crafts and cultural heritage.",5.733,10.9,1200
Cameroon,West,Bafoussam,Baleng Lake,Lake,"Nature, Scenic",Nov–Feb,No,Highland lake surrounded by agricultural and rural landscapes in western Cameroon.,5.55,10.3,1400
Cameroon,Northwest,Bamenda,Bamenda Highlands,Mountain Region,"Mountains, Scenic",Nov–Feb,No,"Scenic highland region characterized by rolling mountains, valleys and traditional communities.",5.96,10.15,1400
Cameroon,Northwest,Bamenda,Menchum Falls,Waterfall,"Nature, Scenic",Nov–Feb,No,Spectacular waterfall in the Northwest Region where the Menchum River drops through a dramatic landscape.,6.35,10.05,900
Cameroon,Northwest,Bamenda,Bafut Palace,Palace,"Culture, Traditional Architecture",Nov–Feb,No,Historic Fon's palace complex representing the cultural heritage of the Bafut people.,6.083,10.1,1200
Cameroon,Northwest,Bamenda,Bafut Museum,Museum,"Culture, History",Nov–Feb,No,Cultural museum associated with the Bafut traditional kingdom and its heritage.,6.083,10.1,1200
Cameroon,Northwest,Bamenda,Bamenda Main Market,Market,"Shopping, Local Culture",Nov–Feb,No,Busy city market providing an everyday view of commerce and local products.,5.96,10.15,1400
Cameroon,Northwest,Fundong,Kumbo Highlands,Mountain Region,"Mountains, Hiking",Nov–Feb,No,Highland landscapes around the Kumbo area known for mountain scenery and rural culture.,6.2,10.67,1800
Cameroon,Southwest,Limbe,Limbe Botanical Garden,Garden,"Botanical, Nature",Nov–Feb,No,Historic botanical garden containing tropical plant collections and scenic coastal vegetation.,4.017,9.2,20
Cameroon,Southwest,Limbe,Limbe Wildlife Centre,Wildlife Centre,"Primates, Conservation",Nov–Feb,No,Wildlife rescue and rehabilitation center known for conservation work with threatened primates.,4.02,9.21,20
Cameroon,Southwest,Limbe,Limbe Beach,Beach,"Coastal, Relaxation",Nov–Feb,No,Black-sand coastal beach near Limbe with views of the Gulf of Guinea.,4.01,9.21,5
Cameroon,Southwest,Limbe,Down Beach,Beach,"Coastal, Fishing",Nov–Feb,No,"Popular waterfront area in Limbe known for coastal scenery, fishing activity and seafood.",4.007,9.214,5
Cameroon,Southwest,Limbe,Mount Cameroon,Volcano,"Mountains, Hiking",Dec–Feb,No,West Africa's highest mountain and an active volcano offering challenging trekking and exceptional highland scenery.,4.217,9.172,4040
Cameroon,Southwest,Buea,Mount Cameroon National Park,National Park,"Volcano, Hiking, Wildlife",Dec–Feb,No,"Protected volcanic landscape surrounding Mount Cameroon with montane forests, wildlife and trekking routes.",4.2,9.17,2000
Cameroon,Southwest,Buea,Buea Mountain View,Viewpoint,"Mountains, Scenic",Dec–Feb,No,Highland viewpoints around Buea offering broad views toward Mount Cameroon and the coast.,4.156,9.241,900
Cameroon,Southwest,Kribi,Kribi Beach,Beach,"Coastal, Relaxation",Nov–Feb,No,Popular Atlantic beach destination known for sandy shores and tropical coastal scenery.,2.937,9.908,5
Cameroon,South,Kribi,Lobé Falls,Waterfall,"Coastal, Nature",Nov–Feb,No,Rare coastal waterfall where the Lobé River cascades directly into the Atlantic Ocean.,2.883,9.9,10
Cameroon,South,Kribi,Lobé River,River,"Nature, Scenic",Nov–Feb,No,River flowing through tropical forest before reaching the Atlantic at the famous Lobé Falls.,2.89,9.9,10
Cameroon,South,Kribi,Chutes de la Lobé,Waterfall,"Nature, Scenic",Nov–Feb,No,Iconic waterfall system at the Atlantic coast and one of Cameroon's best-known natural attractions.,2.883,9.9,10
Cameroon,South,Campo,Campo Ma'an National Park,National Park,"Rainforest, Wildlife",Dec–Feb,Yes,Large protected rainforest landscape containing diverse wildlife and ecosystems; part of a major biodiversity region.,2.35,10.05,200
Cameroon,South,Campo,Campo Beach,Beach,"Coastal, Nature",Dec–Feb,No,Remote Atlantic beach near the Campo area surrounded by tropical forest and coastal scenery.,2.367,9.817,5
Cameroon,South,Kribi,Grand Batanga,Coastal Area,"Beach, Culture",Nov–Feb,No,"Coastal village area near Kribi known for beaches, seafood and traditional coastal culture.",2.85,9.9,10
Cameroon,East,Lomié,Dja Faunal Reserve,Nature Reserve,"Rainforest, Wildlife",Dec–Feb,Yes,Vast Central African rainforest reserve renowned for exceptional biodiversity and wildlife.,3,13,600
Cameroon,East,Yokadouma,Boumba-Bek National Park,National Park,"Rainforest, Wildlife",Dec–Feb,No,"Remote rainforest protected area containing forest elephants, primates and other wildlife.",2.5,15,500
Cameroon,East,Yokadouma,Nki National Park,National Park,"Rainforest, Wildlife",Dec–Feb,No,Large remote rainforest park known for exceptional biodiversity and intact forest ecosystems.,2.3,14.5,500
Cameroon,East,Bertoua,Lobéké National Park,National Park,"Rainforest, Wildlife",Dec–Feb,Yes,"Protected rainforest known for elephants, gorillas, forest buffalo and diverse birdlife; part of the Sangha landscape.",2.25,15.7,400
Cameroon,North,Garoua,Benoué National Park,National Park,"Wildlife, Savannah",Nov–Mar,Yes,"Savannah park known for elephants, hippos, lions, buffalo and other wildlife.",8.35,13.85,400
Cameroon,North,Garoua,Benoué River,River,"Nature, Wildlife",Nov–Mar,No,Major northern river supporting wildlife and wetlands around Benoué National Park.,8.35,13.85,350
Cameroon,North,Poli,Faro National Park,National Park,"Wildlife, Savannah",Nov–Mar,No,Large protected savannah landscape with diverse mammals and rugged northern scenery.,8,12.75,500
Cameroon,North,Poli,Faro River,River,"Nature, Wildlife",Nov–Mar,No,River system flowing through northern Cameroon and supporting wildlife habitats.,8,12.75,450
Cameroon,North,Waza,Waza National Park,National Park,"Wildlife, Savannah",Nov–Mar,No,"Cameroon's most famous northern wildlife park, known for elephants, giraffes, antelopes and birdlife.",11.333,14.667,300
Cameroon,Far North,Waza,Waza Wildlife Reserve,Nature Reserve,"Wildlife, Savannah",Nov–Mar,No,Protected Sahelian landscape supporting important populations of large mammals and migratory birds.,11.333,14.667,300
Cameroon,Far North,Maroua,Mandara Mountains,Mountain Range,"Mountains, Culture",Nov–Feb,No,Dramatic mountain range in northern Cameroon known for rocky landscapes and distinctive traditional settlements.,10.75,13.75,1000
Cameroon,Far North,Mora,Rhumsiki,Village,"Landscape, Culture",Nov–Feb,No,Scenic village in the Mandara Mountains famous for volcanic-looking rock formations and traditional culture.,10.567,13.583,900
Cameroon,Far North,Rhumsiki,Kapsiki Peak,Mountain,"Geology, Scenic",Nov–Feb,No,Distinctive volcanic-looking peak and rock formation forming part of the dramatic Kapsiki landscape.,10.55,13.58,1224
Cameroon,Far North,Maroua,Maroua Grand Market,Market,"Shopping, Culture",Nov–Feb,No,"Large traditional market known for handicrafts, textiles, leather goods and regional products.",10.591,14.316,400
Cameroon,Far North,Mokolo,Mokolo Market,Market,"Shopping, Culture",Nov–Feb,No,Lively market serving communities around the Mandara Mountains and known for local crafts and produce.,10.74,13.8,800
Cameroon,Far North,Mora,Kapsiki Cultural Landscape,Cultural Landscape,"Culture, Geology",Nov–Feb,No,Mountain landscape combining distinctive rock formations with traditional Kapsiki settlements and cultural practices.,10.567,13.583,900
Cambodia,Siem Reap,Siem Reap,Angkor Wat,Temple,"Archaeological, Religious",Nov–Feb,Yes,"Cambodia's most iconic temple complex and one of the world's greatest archaeological monuments, renowned for its monumental architecture and extensive Khmer-era bas-reliefs.",13.413,103.867,65
Cambodia,Siem Reap,Siem Reap,Angkor Thom,Ancient City,"Archaeological, Historical",Nov–Feb,Yes,"A monumental walled city within the Angkor complex, featuring imposing gates, temples, terraces and the famous Bayon.",13.441,103.86,50
Cambodia,Siem Reap,Siem Reap,Bayon Temple,Temple,"Archaeological, Religious",Nov–Feb,Yes,A distinctive Khmer temple famous for its enormous carved stone faces and intricate bas-reliefs.,13.441,103.859,50
Cambodia,Siem Reap,Siem Reap,Ta Prohm,Temple,"Archaeological, Jungle",Nov–Feb,Yes,Atmospheric Angkor temple where enormous tree roots intertwine with ancient stone structures.,13.435,103.889,50
Cambodia,Siem Reap,Siem Reap,Banteay Srei,Temple,"Archaeological, Sculpture",Nov–Feb,Yes,A beautifully preserved 10th-century Khmer temple celebrated for its intricate pink sandstone carvings.,13.599,103.963,50
Cambodia,Siem Reap,Siem Reap,Preah Khan,Temple,"Archaeological, Historical",Nov–Feb,Yes,"Large 12th-century temple complex containing elaborate corridors, carvings and partially overgrown structures.",13.462,103.871,50
Cambodia,Siem Reap,Siem Reap,Neak Pean,Temple,"Archaeological, Religious",Nov–Feb,Yes,A unique temple built on an artificial island surrounded by pools and associated with ancient Khmer healing traditions.,13.463,103.895,50
Cambodia,Siem Reap,Siem Reap,Ta Keo,Temple,"Archaeological, Architecture",Nov–Feb,Yes,Massive unfinished sandstone temple representing the monumental architectural ambitions of the Khmer Empire.,13.445,103.887,50
Cambodia,Siem Reap,Siem Reap,Phnom Bakheng,Temple,"Archaeological, Viewpoint",Nov–Feb,Yes,Hilltop temple offering elevated views toward Angkor Wat and the surrounding archaeological landscape.,13.424,103.856,80
Cambodia,Siem Reap,Siem Reap,East Mebon,Temple,"Archaeological, Historical",Nov–Feb,Yes,Ancient temple located on an island that once stood at the center of a large Khmer reservoir.,13.447,103.92,40
Cambodia,Siem Reap,Siem Reap,West Mebon,Temple,"Archaeological, Historical",Nov–Feb,Yes,Khmer-era temple remains situated within the former West Baray reservoir.,13.434,103.801,20
Cambodia,Siem Reap,Siem Reap,Phnom Kulen National Park,National Park,"Waterfalls, Mountains, Religious",Jun–Nov,Yes,"Sacred mountain landscape known for waterfalls, ancient carvings in the riverbed and religious significance.",13.612,104.108,400
Cambodia,Siem Reap,Siem Reap,Kulen Waterfall,Waterfall,"Nature, Adventure",Jun–Nov,No,Scenic waterfall in Phnom Kulen National Park and a popular destination for swimming and nature excursions.,13.57,104.1,300
Cambodia,Siem Reap,Siem Reap,Kbal Spean,Archaeological Site,"River, Religious, Sculpture",Jun–Nov,Yes,Forest archaeological site featuring Hindu carvings carved directly into the sandstone riverbed.,13.68,104.015,150
Cambodia,Siem Reap,Siem Reap,Banteay Kdei,Temple,"Archaeological, Religious",Nov–Feb,Yes,Large Buddhist temple complex surrounded by jungle and characterized by galleries and carved stone structures.,13.43,103.899,50
Cambodia,Siem Reap,Siem Reap,Srah Srang,Lake,"Scenic, Historical",Nov–Feb,Yes,Ancient Khmer reservoir offering a peaceful setting and especially attractive sunrise and sunset views.,13.431,103.907,40
Cambodia,Siem Reap,Siem Reap,Angkor National Museum,Museum,"History, Archaeology",Nov–Feb,No,"Museum displaying Khmer art, sculptures and historical artifacts that provide context for the Angkor civilization.",13.369,103.857,20
Cambodia,Siem Reap,Siem Reap,Cambodian Cultural Village,Cultural Attraction,"Culture, Heritage",Nov–Feb,No,"Cultural attraction showcasing Cambodian traditions, architecture, performances and regional lifestyles.",13.34,103.825,20
Cambodia,Siem Reap,Siem Reap,Siem Reap Old Market,Market,"Shopping, Culture, Food",Nov–Feb,No,"Lively central market area popular for Cambodian handicrafts, souvenirs, clothing and local food.",13.355,103.855,15
Cambodia,Siem Reap,Siem Reap,Pub Street,Entertainment District,"Nightlife, Food",Nov–Feb,No,"Vibrant pedestrian entertainment area in central Siem Reap known for restaurants, cafés and evening activity.",13.354,103.855,15
Cambodia,Phnom Penh,Phnom Penh,Royal Palace,Palace,"Architecture, History",Nov–Feb,No,"Grand royal complex in Cambodia's capital featuring ornate buildings, courtyards and traditional Khmer architecture.",11.563,104.931,10
Cambodia,Phnom Penh,Phnom Penh,Silver Pagoda,Temple,"Religious, Architecture",Nov–Feb,No,Royal temple within the palace compound known for its ornate interior and valuable religious artworks.,11.562,104.932,10
Cambodia,Phnom Penh,Phnom Penh,Wat Phnom,Temple,"Religious, Historical",Nov–Feb,No,Historic hilltop Buddhist temple traditionally associated with the founding of Phnom Penh.,11.576,104.922,25
Cambodia,Phnom Penh,Phnom Penh,National Museum of Cambodia,Museum,"Art, Archaeology",Nov–Feb,No,"Major museum housing an extensive collection of Khmer sculpture, art and archaeological artifacts.",11.564,104.928,10
Cambodia,Phnom Penh,Phnom Penh,Tuol Sleng Genocide Museum,Museum,"History, Memorial",Nov–Feb,No,Former prison transformed into a museum documenting Cambodia's tragic Khmer Rouge period.,11.549,104.918,10
Cambodia,Phnom Penh,Phnom Penh,Choeung Ek Genocidal Center,Memorial,"History, Memorial",Nov–Feb,No,Memorial site and former killing field that commemorates victims of the Khmer Rouge era.,11.484,104.902,10
Cambodia,Phnom Penh,Phnom Penh,Independence Monument,Monument,"History, Architecture",Nov–Feb,No,Landmark monument commemorating Cambodia's independence from French colonial rule.,11.556,104.928,10
Cambodia,Phnom Penh,Phnom Penh,Wat Ounalom,Temple,"Buddhist, Religious",Nov–Feb,No,Important Buddhist temple complex near the Royal Palace and a significant center of Cambodian Buddhism.,11.566,104.931,10
Cambodia,Phnom Penh,Phnom Penh,Central Market,Market,"Shopping, Architecture",Nov–Feb,No,"Iconic Phnom Penh market housed in a distinctive Art Deco structure and known for jewelry, clothing and local products.",11.57,104.921,10
Cambodia,Phnom Penh,Phnom Penh,Phnom Tamao Wildlife Rescue Centre,Wildlife,"Conservation, Animals",Nov–Jun,No,Wildlife rescue facility providing sanctuary and rehabilitation for rescued Cambodian animals.,11.3,104.8,50
Cambodia,Kampot,Kampot,Bokor National Park,National Park,"Mountains, Waterfalls, Wildlife",Nov–Feb,No,"Mountainous protected area known for forests, waterfalls, wildlife and panoramic views toward the coast.",10.627,104.05,1000
Cambodia,Kampot,Kampot,Bokor Hill Station,Historical Site,"Colonial, Mountains",Nov–Feb,No,Former French colonial mountain resort featuring atmospheric abandoned structures and dramatic highland scenery.,10.627,104.027,1080
Cambodia,Kampot,Kampot,Popokvil Waterfall,Waterfall,"Nature, Mountains",Jun–Nov,No,Scenic waterfall located within Bokor National Park and surrounded by lush mountain forest.,10.63,104.05,900
